cuid,prefix,firstName,middleInitial,lastName,fullName
6,HON.,CAMILO,V,EVAS,HON. CAMILO V. EVAS
6,HON.,CAMILO,V,EYAS,HON. CAMILO V. EYAS
7,HON.,CECILIA,F,MALANGIN,HON. CECILIA F. MALANGIN
7,HON.,CECILIA,F,MALINGIN,HON. CECILIA F. MALINGIN
7,HON.,CECILIA,F,MALINGM,HON. CECILIA F. MALINGM
7,HON.,CECILIA,F,MALINIG,HON. CECILIA F. MALINIG
7,HON.,CECILIA,F,MALINIGIN,HON. CECILIA F. MALINIGIN
7,HON.,CECILIA,F,MALINING,HON. CECILIA F. MALINING
7,HON.,CECILIA,F,MALINPIN,HON. CECILIA F. MALINPIN
7,HON.,CECILIA,F,MALTINGIN,HON. CECILIA F. MALTINGIN
50,HON.,CELEDONIO,B,SITOY,HON. CELEDONIO B. SITOY
8,HON.,CELESTINO,C,AYING,HON. CELESTINO C. AYING
8,HON.,CELESTINO,C,AYING AND,HON. CELESTINO C. AYING AND
9,HON.,CIPRIANO,D,FLORES,HON. CIPRIANO D. FLORES
10,HON.,CLIMACO,A,TATOY,HON. CLIMACO A. TATOY
10,HON.,CLIMACO,A,TATOY JR.,HON. CLIMACO A. TATOY JR.
12,HON.,CORACIO,A,PAHANG,HON. CORACIO A. PAHANG
11,HON.,CORAZON,I,GUANO,HON. CORAZON I. GUANO
11,HON.,CORAZON,I,OCAMPO,HON. CORAZON I. OCAMPO
11,HON.,CORAZON,I,OIANO,HON. CORAZON I. OIANO
11,HON.,CORAZON,I,OUANO,HON. CORAZON I. OUANO
11,HON.,CORAZON,I,QUANO,HON. CORAZON I. QUANO
12,HON.,CORCELIO,A,PAHANG,HON. CORCELIO A. PAHANG
12,HON.,CORNELIA,A,PAHANG,HON. CORNELIA A. PAHANG
12,HON.,CORNELIO,A,FAHANG,HON. CORNELIO A. FAHANG
12,HON.,CORNELIO,A,FAJANG,HON. CORNELIO A. FAJANG
12,HON.,CORNELIO,A,PAHAMAG,HON. CORNELIO A. PAHAMAG
12,HON.,CORNELIO,A,PAHANG,HON. CORNELIO A. PAHANG
12,HON.,CORNELIO,A,PAHANG M.D.,HON. CORNELIO A. PAHANG M.D.
12,HON.,CORNELIO,A,PAKANG,HON. CORNELIO A. PAKANG
12,HON.,CORNELIO,A,PALANG,HON. CORNELIO A. PALANG
12,HON.,CORNELIO,A,PANANG,HON. CORNELIO A. PANANG
12,HON.,CORNELIO,A,PATANG,HON. CORNELIO A. PATANG
12,HON.,CORNELIO,,PAHANG,HON. CORNELIO PAHANG
12,HON.,CORNELLE,A,PAHANG,HON. CORNELLE A. PAHANG
12,HON.,CORNELLO,A,PAHANG,HON. CORNELLO A. PAHANG
12,HON.,CORNIELIO,A,PAHANG,HON. CORNIELIO A. PAHANG
12,HON.,CORRELITO,A,PAHANG,HON. CORRELITO A. PAHANG
13,HON.,DAMIAN,,AT. GOMEZ,HON. DAMIAN AT. GOMEZ
13,HON.,DAMIAN,T,GOMEZ,HON. DAMIAN T. GOMEZ
13,HON.,DANIAN,T,GOMEZ,HON. DANIAN T. GOMEZ
13,HON.,DANILO,T,GOMEZ,HON. DANILO T. GOMEZ
51,HON.,DELORES,P,ABELLANOSA,HON. DELORES P. ABELLANOSA
51,HON.,DOLORES,F,ABELLANOSA,HON. DOLORES F. ABELLANOSA
51,HON.,DOLORES,P,ABELLANA,HON. DOLORES P. ABELLANA
51,HON.,DOLORES,P,ABELLANAOS,HON. DOLORES P. ABELLANAOS
51,HON.,DOLORES,P,ABELLANOSA,HON. DOLORES P. ABELLANOSA
13,HON.,DURRIAN,T,GOMEZ,HON. DURRIAN T. GOMEZ
13,HON.,DURRIN,T,GOMEZ,HON. DURRIN T. GOMEZ
15,HON.,EDUARDO,L,CUITZON AND,HON. EDUARDO L. CUITZON AND
15,HON.,EDUARDO,L,CUIZON,HON. EDUARDO L. CUIZON
15,HON.,EDUARDO,LL,CUIZON and ELIAS BERDIN,HON. EDUARDO L. CUIZON and ELIAS L. BERDIN
15,HON.,EDUARDO,L,CUZION,HON. EDUARDO L. CUZION
15,HON.,EDUARDO,L,CUZON,HON. EDUARDO L. CUZON
16,HON.,EDUARDO,R,PATALINJUG,HON. EDUARDO R. PATALINJUG
17,HON.,EFREM,T,HERRERA,HON. EFREM T. HERRERA
17,HON.,EFREN,T,HERREA,HON. EFREN T. HERREA
17,HON.,EFREN,T,HERRERA,HON. EFREN T. HERRERA
17,HON.,EFREN,T,HERRURA,HON. EFREN T. HERRURA
17,HON.,EFREN,T,HORRERA,HON. EFREN T. HORRERA
17,HON.,EFRON,T,HERRERA,HON. EFRON T. HERRERA
17,HON.,EFRON,T,HERRERAN,HON. EFRON T. HERRERAN
18,HON.,ELIAS,L,BERDIN,HON. ELIAS L. BERDIN
17,HON.,ELLEN,F,HERRERA,HON. ELLEN F. HERRERA
19,HON.,EMILIO,L,GALARAZA,HON. EMILIO L. GALARAZA
19,HON.,EMILIO,L,GALAROZA,HON. EMILIO L. GALAROZA
19,HON.,EMILIO,L,GALAROZA JR.,HON. EMILIO L. GALAROZA JR.
19,HON.,EMILIO,L,GALARZA,HON. EMILIO L. GALARZA
19,HON.,EMILIO,L,GALARZOA,HON. EMILIO L. GALARZOA
52,HON.,ERNEST,D,LUKE WEIGEL,HON. ERNEST LUKE D. WEIGEL
20,HON.,EUGENE,S,ESPEDIDO,HON. EUGENE S. ESPEDIDO
20,HON.,EUGENE,S,ESPEDIDO AND,HON. EUGENE S. ESPEDIDO AND
21,HON.,EUSEBIO,J,J.,HON. EUSEBIO J.
21,HON.,EUSEBIO,J,SANTIAGO,HON. EUSEBIO J. SANTIAGO
22,HON.,FLAVIANO,A,HIYAS,HON. FLAVIANO A. HIYAS
23,HON.,FLORENTO,T,POZON,HON. FLORENTO T. POZON
23,HON.,FLORITO,T,PEZON,HON. FLORITO T. PEZON
23,HON.,FLORITO,T,POZON,HON. FLORITO T. POZON
53,HON.,FRANCES,P,NICOLE BALAO,HON. FRANCES NICOLE P. BALAO
1,HON.,FRANCISCO,M,SENCRINDA,HON. FRANCISCO M. SENCRINDA
1,HON.,FRANCISCO,M,SENERPIDA,HON. FRANCISCO M. SENERPIDA
1,HON.,FRANCISCO,M,SENERPIDA ONLY,HON. FRANCISCO M. SENERPIDA ONLY
54,HON.,GAYSAL,S,ANTONETTE IGOT,HON. GAYSAL ANTONETTE S. IGOT
54,HON.,GAYSEAL,S,ANTONETTE IGOT,HON. GAYSEAL ANTONETTE S. IGOT
54,HON.,GAYSEL,S,ANTONETTE IGOT,HON. GAYSEL ANTONETTE S. IGOT
54,HON.,GAYSEL,S,ANTONETTE IGOT ONLY,HON. GAYSEL ANTONETTE S. IGOT ONLY
55,HON.,GODOFREDO,B,BERAME,HON. GODOFREDO B. BERAME
55,HON.,GODOFREDO,B,BEREME,HON. GODOFREDO B. BEREME
55,HON.,GODOFREDO,B,BORAME,HON. GODOFREDO B. BORAME
55,HON.,GODOFREDO,R,BORAME,HON. GODOFREDO R. BORAME
25,HON.,GREGORIO,A,PAQUIBOT,HON. GREGORIO A. PAQUIBOT
26,HON.,HARRY,A,DON RADAZA,HON. HARRY DON A. RADAZA
35,HON. HON.,LINDA,C,SUSAN BARING,HON. HON. LINDA SUSAN C. BARING
56,HON. HON.,PLACIDO,L,NGUYO,HON. HON. PLACIDO L. NGUYO
48,HON. HON.,ROQUE,P,WAGWAG,HON. HON. ROQUE P. WAGWAG
57,HON.,ISABEL,F,YOUNG,HON. ISABEL F. YOUNG
57,HON.,ISABEL,P,YONG,HON. ISABEL P. YONG
57,HON.,ISABELA,F,YCANG,HON. ISABELA F. YCANG
57,HON.,ISABELA,F,YCOONG,HON. ISABELA F. YCOONG
57,HON.,ISABELA,F,YOUNG,HON. ISABELA F. YOUNG
57,HON.,ISABELE,F,YCONG,HON. ISABELE F. YCONG
57,HON.,ISABELE,F,YOONG,HON. ISABELE F. YOONG
57,HON.,ISABELO,F,YCANG,HON. ISABELO F. YCANG
57,HON.,ISABELO,F,YCANG JULY,HON. ISABELO F. YCANG JULY
57,HON.,ISABELO,F,YCCONG,HON. ISABELO F. YCCONG
57,HON.,ISABELO,F,YCOAG,HON. ISABELO F. YCOAG
57,HON.,ISABELO,F,YCOG,HON. ISABELO F. YCOG
57,HON.,ISABELO,F,YCONG,HON. ISABELO F. YCONG
57,HON.,ISABELO,F,YCOONG,HON. ISABELO F. YCOONG
57,HON.,ISABELO,F,YEONG,HON. ISABELO F. YEONG
57,HON.,ISABELO,F,YLONG,HON. ISABELO F. YLONG
57,HON.,ISABELO,F,YONG,HON. ISABELO F. YONG
57,HON.,ISABELO,F,YONGS,HON. ISABELO F. YONGS
57,HON.,ISABELO,F,YOONG,HON. ISABELO F. YOONG
57,HON.,ISABELO,F,YOUNG,HON. ISABELO F. YOUNG
57,HON.,ISABELO,F,YUNG,HON. ISABELO F. YUNG
57,HON.,ISABELO,P,YOUNG,HON. ISABELO P. YOUNG
57,HON.,ISAIEL,P,YONG,HON. ISAIEL P. YONG
57,HON.,ISAIELIO,F,YCONG,HON. ISAIELIO F. YCONG
57,HON.,ISMAEL,F,YOON,HON. ISMAEL F. YOON
44,HON.,JAN,A,REX MANGUBAT,HON. JAN REX A. MANGUBAT
27,HON.,JAN,A,VINCENT DELA SERNA,HON. JAN VINCENT A. DELA SERNA
27,HON.,JAN,A,VINCENT DELA Serna,HON. JAN VINCENT A. DELA Serna
27,HON.,JAN,,VINCENT DELA SERNA,HON. JAN VINCENT DELA SERNA
28,HON.,JASMINE,K,MARIE CHAN,HON. JASMINE MARIE K. CHAN
58,HON.,JEANNIFY,S,TAN DUNGOG,HON. JEANNIFY S. TAN DUNGOG
29,HON.,JEORGEN,E,BOOK,HON. JEORGEN E. BOOK
29,HON.,JEORGEN,E,BOOK AND,HON. JEORGEN E. BOOK AND
29,HON.,JEORGEN,E,BOOK CHAN,HON. JEORGEN E. BOOK CHAN
29,HON.,JEORGEN,F,BOOK,HON. JEORGEN F. BOOK
29,HON.,JEORGENE,E,BOOK,HON. JEORGENE E. BOOK
30,HON.,JOSE,P,DUNGOG,HON. JOSE P. DUNGOG
31,HON.,JOSEPH,T,PANGATUNGAN,HON. JOSEPH T. PANGATUNGAN
31,HON.,JOSEPH,T,PANGATUNGAN AND,HON. JOSEPH T. PANGATUNGAN AND
32,HON.,JUNARD,Q,CHAN,HON. JUNARD Q. CHAN
32,HON.,JUNARD,Q,CHEN,HON. JUNARD Q. CHEN
33,HON.,LAIKA,J,TAMPLUS,HON. LAIKA J. TAMPLUS
33,HON.,LAIKA,J,TAMPUS,HON. LAIKA J. TAMPUS
34,HON.,LEO,F,MERCADO,HON. LEO F. MERCADO
35,HON.,LINDA,C,SUSA BARING,HON. LINDA SUSA C. BARING
35,HON.,LINDA,C,SUSAN BARANG,HON. LINDA SUSAN C. BARANG
35,HON.,LINDA,C,SUSAN BARING,HON. LINDA SUSAN C. BARING
58,HON.,LIZ,S,CATAGCATAG,HON. LIZ S. CATAGCATAG
58,HON.,LIZ,S,CATAGECATAG,HON. LIZ S. CATAGECATAG
59,HON.,LUCRECIA,M,AMORES,HON. LUCRECIA M. AMORES
36,HON.,MACIAL,A,YCONG,HON. MACIAL A. YCONG
36,HON.,MACIAL,A,YEONG,HON. MACIAL A. YEONG
36,HON.,MARCEL,A,YEONG,HON. MARCEL A. YEONG
36,HON.,MARCIAL,A,YCANG,HON. MARCIAL A. YCANG
36,HON.,MARCIAL,A,YCCONG,HON. MARCIAL A. YCCONG
36,HON.,MARCIAL,A,YCENG,HON. MARCIAL A. YCENG
36,HON.,MARCIAL,A,YCOG,HON. MARCIAL A. YCOG
36,HON.,MARCIAL,A,YCONG,HON. MARCIAL A. YCONG
36,HON.,MARCIAL,A,YCOONG,HON. MARCIAL A. YCOONG
36,HON.,MARCIAL,A,YCUNG,HON. MARCIAL A. YCUNG
36,HON.,MARCIAL,A,YECONG,HON. MARCIAL A. YECONG
36,HON.,MARCIAL,A,YEONG,HON. MARCIAL A. YEONG
36,HON.,MARCIAL,A,YEUNG,HON. MARCIAL A. YEUNG
36,HON.,MARCIAL,A,YOONG,HON. MARCIAL A. YOONG
36,HON.,MARCIAL,A,YUNG,HON. MARCIAL A. YUNG
37,HON.,MARCIANO,A,ALFORQUE,HON. MARCIANO A. ALFORQUE
38,HON.,MARIO,Y,AMORES,HON. MARIO Y. AMORES
38,HON.,MARIO,Y,AMOROS,HON. MARIO Y. AMOROS
39,HON.,MELISSA,D,VIDAL,HON. MELISSA D. VIDAL
39,HON.,MELISSA,,DIGNOS VIDAL,HON. MELISSA DIGNOS VIDAL
39,HON.,MELISSA,,DIGNOS-VIDAL,HON. MELISSA DIGNOS-VIDAL
40,HON.,MICHAEL,M,DIGNOS,HON. MICHAEL M. DIGNOS
38,HON.,MRIO,Y,AMORES,HON. MRIO Y. AMORES
41,HON.,NELSON,O,YAP,HON. NELSON O. YAP
41,HON.,NELSON,,YAP,HON. NELSON YAP
41,HON.,NLESCA,O,YAP,HON. NLESCA O. YAP
42,HON.,ORLAN,C,JOSEPH CARUNGAY,HON. ORLAN JOSEPH C. CARUNGAY
12,HON.,ORNELIO,A,PAHANG,HON. ORNELIO A. PAHANG
25,HON.,PAQUIBOT,A,GREGORIO PAQUIBOT,HON. PAQUIBOT GREGORIO A. PAQUIBOT
56,HON.,PLACIDO,B,NGUYO,HON. PLACIDO B. NGUYO
56,HON.,PLACIDO,L,NGIJO,HON. PLACIDO L. NGIJO
56,HON.,PLACIDO,L,NGUGO,HON. PLACIDO L. NGUGO
56,HON.,PLACIDO,L,NGUIO,HON. PLACIDO L. NGUIO
56,HON.,PLACIDO,L,NGUJO,HON. PLACIDO L. NGUJO
56,HON.,PLACIDO,L,NGUYE,HON. PLACIDO L. NGUYE
56,HON.,PLACIDO,L,NGUYO,HON. PLACIDO L. NGUYO
56,HON.,PLECIDO,L,NGUYO,HON. PLECIDO L. NGUYO
43,HON.,QUEENIE,M,AMMAN,HON. QUEENIE M. AMMAN
43,HON.,QUEENIE,M,AMMANN,HON. QUEENIE M. AMMANN
43,HON.,QUEENIE,MJ,AMMANN HON LAIKA TAMPUS,"HON. QUEENIE M. AMMANN
HON LAIKA J. TAMPUS"
43,HON.,QUEENIE,M,AMMANN.,HON. QUEENIE M. AMMANN.
61,HON.,QUIRICO,C,HALINGIN,HON. QUIRICO C. HALINGIN
61,HON.,QUIRICO,C,MALINGIN,HON. QUIRICO C. MALINGIN
61,HON.,QUIRICO,C,MALINIG,HON. QUIRICO C. MALINIG
61,HON.,QUIRICO,C,MALINIGIN,HON. QUIRICO C. MALINIGIN
61,HON.,QUIRICO,C,MALINLING,HON. QUIRICO C. MALINLING
61,HON.,QUIRICO,,MALINGIN,HON. QUIRICO MALINGIN
61,HON.,QUIRICO,O,MALINGIN,HON. QUIRICO O. MALINGIN
62,HON.,RAMON,R,PATALINJUG,HON. RAMON R. PATALINJUG
44,HON.,REX,A,MANGUBAT,HON. REX A. MANGUBAT
45,HON.,REYMAR,E,DICO,HON. REYMAR E. DICO
45,HON.,REYNAR,E,DICO,HON. REYNAR E. DICO
46,HON.,RICARDO,D,AMORES,HON. RICARDO D. AMORES
47,HON.,RODLFO,P,POTOT,HON. RODLFO P. POTOT
47,HON.,RODOLFO,O,APARRI,HON. RODOLFO O. APARRI
47,HON.,RODOLFO,P,PETCO,HON. RODOLFO P. PETCO
47,HON.,RODOLFO,P,POTE,HON. RODOLFO P. POTE
47,HON.,RODOLFO,P,POTOR,HON. RODOLFO P. POTOR
47,HON.,RODOLFO,P,POTOT,HON. RODOLFO P. POTOT
48,HON.,ROQUE,P,WAGWAG,HON. ROQUE P. WAGWAG
48,HON.,,,WAGWAG,HON. WAGWAG
13,,HONORABLE,T,DAMIAN GOMEZ,HONORABLE DAMIAN T. GOMEZ
13,M.D. HON.,GODOFREDO,B,BERAME,M.D. HON. GODOFREDO B. BERAME
60,,MEMBER,L,HON. PLACIDO NGUJO,MEMBER HON. PLACIDO L. NGUJO
